Date,Price,Open,High,Low,Vol.,Change %
2020-02-05,16602,16786,16786,16417,120.84K,-1.10%
2020-02-06,16832,16602,16878,16602,119.29K,1.39%
2020-02-07,16971,16832,17063,16740,37.64K,0.83%
2020-02-10,16509,16971,16971,16509,15.91K,-2.72%
2020-02-11,16740,16602,16971,16602,28.55K,1.40%
2020-02-12,16740,16924,16971,16509,39.82K,0.00%
2020-02-13,16602,16786,16786,16509,45.24K,-0.82%
2020-02-14,16602,16740,16740,16555,36.04K,0.00%
2020-02-17,16602,16602,16740,16417,22.36K,0.00%
2020-02-18,16602,16602,16878,16602,71.30K,0.00%
2020-02-19,16555,16602,16694,16417,64.07K,-0.28%
2020-02-20,16878,16694,17109,16602,72.61K,1.95%
2020-02-21,17063,16786,17063,16786,30.23K,1.10%
2020-02-24,16786,17063,17063,16509,87.94K,-1.62%
2020-02-25,16971,16786,16971,16509,82.74K,1.10%
2020-02-26,16971,16971,16971,16602,75.08K,0.00%
2020-02-27,16971,16971,16971,16602,17.61K,0.00%
2020-02-28,16694,16509,16924,16371,27.53K,-1.63%
2020-03-02,16694,16417,16694,16417,21.10K,0.00%
2020-03-03,16786,16602,16878,16509,38.07K,0.55%
2020-03-04,16786,16786,16786,16602,182.22K,0.00%
